CVE-2017-12154: Fix not seen in stream
CVE-2017-12168: Fix not seen in stream
CVE-2017-12762: Fix not seen in stream
CVE-2017-13693: Fix unknown
CVE-2017-13694: Fix unknown
CVE-2017-13695: Fix unknown
CVE-2017-14051: Fix not seen in stream
CVE-2017-14106: Fixed with 3.16.48
CVE-2017-14140: Fixed with 3.16.48
CVE-2017-14156: Fix not seen in stream
CVE-2017-14340: Fix not seen in stream
CVE-2017-14489: Fix not seen in stream
CVE-2017-14991: Fix not seen in stream
CVE-2017-2583: Fixed with 3.16.41
CVE-2017-2584: Fixed with 3.16.41
CVE-2017-2596: Fixed with 3.16.42
CVE-2017-2618: Fixed with 3.16.41
CVE-2017-2636: Fixed with 3.16.42
CVE-2017-2647: Fixed with 3.16.46
CVE-2017-2671: Fixed with 3.16.44
CVE-2017-5549: Fixed with 3.16.41
CVE-2017-5551: Fixed with 3.16.41
CVE-2017-5669: Fixed with 3.16.42
CVE-2017-5897: Fixed with 3.16.41
CVE-2017-5967: Fix not seen in stream
CVE-2017-5970: Fixed with 3.16.41
CVE-2017-5972: Fix not seen in stream
CVE-2017-5986: Fixed with 3.16.42
CVE-2017-6001: Fixed with 3.16.40
CVE-2017-6074: Fixed with 3.16.41
CVE-2017-6214: Fixed with 3.16.41
CVE-2017-6345: Fixed with 3.16.42
CVE-2017-6346: Fixed with 3.16.42
CVE-2017-6348: Fixed with 3.16.42
CVE-2017-6353: Fixed with 3.16.42
CVE-2017-6951: Fixed with 3.16.46
CVE-2017-7184: Fixed with 3.16.44
CVE-2017-7261: Fixed with 3.16.44
CVE-2017-7273: Fixed with 3.16.42
CVE-2017-7294: Fixed with 3.16.44
CVE-2017-7308: Fixed with 3.16.44
CVE-2017-7346: Fixed with 3.16.45
CVE-2017-7472: Fixed with 3.16.44
CVE-2017-7482: Fixed with 3.16.45
CVE-2017-7487: Fixed with 3.16.44
CVE-2017-7495: Fixed with 3.16.37
CVE-2017-7518: Fixed with 3.16.45
CVE-2017-7533: Fixed with 3.16.47
CVE-2017-7541: Fixed with 3.16.48
CVE-2017-7542: Fixed with 3.16.47
CVE-2017-7616: Fixed with 3.16.44
CVE-2017-7618: Fixed with 3.16.44
CVE-2017-7645: Fixed with 3.16.44
CVE-2017-7889: Fixed with 3.16.46
CVE-2017-7895: Fixed with 3.16.44
CVE-2017-8064: Fixed with 3.16.44
CVE-2017-8797: Fix not seen in stream
CVE-2017-8831: Fix not seen in stream
CVE-2017-8890: Fixed with 3.16.44
CVE-2017-8924: Fixed with 3.16.44
CVE-2017-8925: Fixed with 3.16.44
CVE-2017-9074: Fixed with 3.16.44
CVE-2017-9075: Fixed with 3.16.44
CVE-2017-9076: Fixed with 3.16.44
CVE-2017-9077: Fixed with 3.16.44
CVE-2017-9242: Fixed with 3.16.44
CVE-2017-9605: Fixed with 3.16.46
CVE-2017-9984: Fix not seen in stream
CVE-2017-9985: Fix not seen in stream
CVE-2017-9986: Fix unknown
